,번역
100,"저희는 4인 가족이며 9살 딸과 3살 아들이 있습니다. 우리는 2013년 9월 1일에 서울 대공원에 갔고 그것을 좋아했습니다. 나는 지하철 4호선을 타고 서울대공원에서 하차하는 것을 강력히 추천한다. 2번 출구로 나가면 sgp 트램 승하차 구역까지 약 1/4마일을 걸을 것입니다. 동물원 입구가 약 1/2에서 3/4마일 오르막이기 때문에 트램을 타기 위해 비용을 지불하는 것이 좋습니다. 트램은 2,700원입니다. 트램 구역은 모두 나가서 붐비는 것처럼 보이지만 트램은 트램 사이에 약 30초 정도만 기다리면 바로 잇따라 옵니다. 그들은 소처럼 우리를 옮겼습니다! 우리는 트램에 만족했습니다. 그래서 트램이 멈췄을 때 우리는 동물원 입장권을 샀고(여기에는 다른 명소로 들어갈 수 있는 특별한 ""테마"" 티켓이 포함되어 있었습니다. 나는 그것이 장미 정원이었음을 거의 확신하지만 우리는 결코 가보지 못했습니다) 동물원(총 9,600원, 가격이 믿기지 않을 정도). 좋습니다. 일단 동물원에 도착하면 스키 리프트를 타고 꼭대기까지 올라가서 걸어 내려가서 하루라고 부르거나 운동화를 조일 수 있는 좋은 장소를 찾으세요. 정상까지 걸어가는 길은 오르막이며 사자와 다른 ""고양이""를 볼 수 있지만 그만한 가치가 있습니다. 나는 사자가 아닌 6마리 이상의 사자가 있는 동물원에 가본 적이 없습니다! 이 동물원에는 들소, 곰(수많은), 돌고래부터 사슴까지 모든 것이 있습니다. 오늘의 하이라이트는 사슴이 내 딸과 아들의 손을 먹는 것이었습니다 (직원이 권장하지는 않지만 상추 나 당근보다 어린 아이가있는 경우 아이들은 땅에서 찾은 녹색 잎을 먹였습니다. 그리고 그들은 그것을 먹었다). 우리는 이 동물원에 대해 전혀 불만이 없었습니다. 사실 그것은 우리의 기대를 날려버렸습니다. 욕실 매우 깨끗하고 음료수와 스낵을 정가에 판매하는 편의점 (동물원에 있기 때문에 잭이 아닌 음료수는 900 원) 및 다양한 동물. 팁 #1 - 여기에서 하루 종일 허용합니다. 그래서, 우리는 트램을 다시 탔고 우리가 도착했을 때 트램을 탔던 적재/하역 지역으로 곧장 갈 것이라고 생각했습니다. …아니요. 돌아오기 전에 서울랜드에 한 번 들렀다. tip #2 - 서울대공원에는 동물원보다 더 많은 것이 있다!!! 누가 알았어?? 글쎄, 우리는 그렇게하고 우리는 곧 다시 향하고 있습니다! 우리는 놀라운 하루를 보냈습니다!"
101,"서울대공원에 있는 동물원을 리뷰하기 전에 자연 서식지에서 야생 동물을 보는 것이 항상 선호된다는 점을 말씀드리고 싶습니다. 그것은 훨씬 더 스릴 있고 가치 있는 경험입니다. 동물원이 있는 한 서울대공원은 다양한 동물과 종에 대한 정확한 정보를 제공합니다. 모든 동물원 전시물은 야생 동물을 보기에는 너무 작습니다. 그러나 우리는 현대 동물원에서 대부분의 동물이 현재 포로 상태이거나 여러 가지 이유로 야생으로 돌아갈 수 없다는 것을 분명히 해야 합니다. 오늘날 동물원은 단순히 와우 요인을 위해 사나운, 이국적 또는 기이한 동물을 전시하지 않고 주로 교육을 위한 것입니다. 동물원 관리는 항상 조건과 동물이 대중에게 ""보여지는"" 방법을 개선하기 위해 노력할 수 있습니다. 그러므로 나는 서울 최고의 동물원을 전 세계의 다른 동물원들과 비교하고 있습니다. 동물원은 미국의 많은 동물원과 비슷하지만 확실히 종 다양성과 전시 품질 모두에서 샌디에고 동물원 아래에 못이 박혀 있습니다. 서울 대공원은 내가 본 중국의 어떤 동물원보다 훨씬 낫습니다. 비록 많이 사랑받는 판다를 제외하더라도 말입니다. 전시회는 더 깨끗하고 더 넓으며 간판은 내가 아시아에서(그리고 일부는 미국에서) 방문한 다른 동물원보다 훨씬 더 많은 정보를 제공합니다. 나는 여기에서 즐거운 시간을 보냈습니다. 전시회는 종종 흥미로웠습니다. 그러나 대부분의 동물원과 마찬가지로 더 크고 더 잘 보관해야 하는 개별 전시가 있었습니다. 이것은 결코 서울대공원에만 있는 것이 아니며 샌디에고 동물원에도 개조/확장이 필요한 오래된 전시물이 있습니다."
102,동물원은 지하철역에서 쉽게 갈 수 있었고 웹 사이트에는 정류장과 출구 정보가 나와있어 외국인에게 매우 도움이되었습니다. 우리는 동물원의 전망과 위치에 즐겁게 놀랐습니다. 그것은 아름다운 산악 지역에 둘러싸여 있었습니다. 입장료는 매우 합리적이었지만 방문객들은 공원 전체를 경험하려면 하루 종일 그곳에서 보낼 계획을 세워야 합니다. 우리는 거의 5시간 동안 그곳에 있었고 공원의 절반만 볼 수 있었습니다. 동물 전시는 믿을 수 없었습니다. 우리는 정말 많은 종류의 동물을 보았습니다. 우리가 간 날은 비가 조금 와서 일부 행사가 취소되었습니다. 원숭이들은 모두 최근에 아기를 가졌기 때문에 엄마들이 아이들과 상호 작용하는 것을 보는 것은 매우 깔끔했습니다. 이것은 가족 친화적 인 장소이며 서울을 방문 할 때 꼭보아야 할 명소입니다.
103,"서울대공원은 지하철 m4를 통해 쉽게 접근할 수 있습니다. 그것은 대 공원이며 자연 애호가에게 가장 적합합니다. 공원 입장료는 없지만 서울시에서 잘 관리해 주었다. 권장 사항 : a) 지하철 m4로 이동 b) 아침에 방문, 공기가 신선함 c) 모든 가족 구성원에게 적합 d) 공원이 너무 거대하고 노인에게 부담이 될 것이므로 기차를 타고 공원을 돌아보십시오. e) 동물원을 방문하십시오. 입장료는 3000원이었고 많은 동물이 있었기 때문에 가치가있었습니다. f) 동물원의 하이라이트 : Silverback 고릴라, 오전 1130시에 돌고래 쇼 g) 3-4 시간을 쉽게 보낼 수 있습니다."
104,겨울에 가기로 선택한 것은 좋은 생각이기도 하고 나쁜 생각이기도 했습니다. 잔인한 추위는 용서하지 않았지만보기는 내가 겪었던 모든 떨림과 동상의 가치가있었습니다. 동물원은 산으로 둘러싸여있어 경치가 놀랍도록 아름답고 내부의 개울이 경치를 더욱 아름답게 만듭니다. 꽤 큰 동물원 주변에 방문객을 데려 오는 버스가 있었지만 확실히 좋은 운동이었습니다. 동물원은 대부분의 인클로저가 문을 닫고 동물을 실내에 넣어 난방을 하기 때문에 겨울에 방문하기에 적합하지 않았습니다. 실내 인클로저의 상태는 꽤 나빴고 냄새는 자극적이었고 익숙해지는 데 시간이 걸렸습니다. 그래도 가장 마음에 들었던 것은 아기 동물 코너였는데 유리 패널로 분리된 다양한 동물을 가까이서 볼 수 있었습니다. 아기 표범을 가까이에서 보는 것은 훌륭했습니다. 내가 봄이나 가을에 다시 간다면 자연 인클로저에서 동물을 살펴보기 위해 다시 돌아올 것입니다. 주로 저렴한 입장료와 다양한 동물을 볼 수 있기 때문입니다. 그러나 이번에는 무료 셔틀을 타고 전체 지역을 걷지 않을 것입니다. =피
105,"이 동물들이 살아가야 하는 조건은 끔찍합니다. 동물원 주인은 동물보다 방문객을 끌어들이는 데 더 많은 관심을 갖고 있습니다....그들의 겨울 서식지는 콘크리트 감옥이었고 대부분의 동물은 눈에 띄게 불행해 보였습니다. 따뜻한 달을 위해 설정된 서식지는 실제로 더 좋아 보이지 않았고 동물이 집에서 느낄 수 있는 장소가 아니라 그냥 새장처럼 보였습니다. 나는 떠날 때 너무 슬펐고, 동물원 전체를 볼 수조차 없었습니다. 그들을 지원하지 말고 동물을 제대로 돌보는 동물원에 가십시오."
106,"우리 가족은 올해 첫 눈이 내린 직후 초겨울에 그곳에 갔다. 서울 동물원은 지하철로 쉽게 접근할 수 있는 서울대공원 클러스터에 자리잡고 있습니다. 장소는 조용하고 평화롭고 환상적이었습니다. 팀은 따뜻한 곳의 동물이 사내 보호소에 보관되므로 올바른 방향으로 우리를 안내하여 방문을 즐겁게하기 위해 최선을 다했습니다. 동물원 전문가는 아니지만 큰 고양이, 개, 맹금 및 사슴은 잘 먹고 활기차고 표현력이 뛰어나며 눈싸움을 할 눈도 많이 있습니다. 제 생각에는 특히 아이들을 위한 방문으로 정말 추천할만한 가치가 있습니다. 가격 면에서 성인 1인당 7,000원의 티켓 가격은 입구에서 길고 아름다운 케이블 타기, 동물원 입구까지의 셔틀 및 활기찬 동물을 감안할 때 매우 합리적입니다."
107,저는 동물을 사랑하고 동물원을 사랑합니다. 동물이 올바르게 대우받을 때 말이죠. 이 동물원은 그런 곳이 아니었습니다. 동물은 가늘고 일부는 털이 없습니다. 앞뒤로 움직이는 동물들. 우리는 작은 콘크리트 슬래브였습니다(서식지 아님). 내 총각/스튜디오 아파트보다 크지 않은 새장에는 치타 3마리가 들어 있었습니다! 심지어 그 근거 자체도 칙칙했다. 나는 이 동물원에 가는 것을 추천하지 않습니다. 동물을 친절하고 존중하는 마음으로 대하는 더 좋은 동물원이 많이 있습니다.
108,그랜드파크는 지하철역 437번 근처에 있습니다. 첫 번째 이후에는 동물원 입장권을 구입해야 합니다. 두 번째 케이블 길이 더 깁니다. 그런 다음 동물원을 내려가는 것이 즐겁습니다. 다양한 동물과 새들이 많이 있습니다. 그들 중 일부는 특히 아름답습니다.
109,서울 동물원은 아이가 있든 없든 좋은 곳입니다. 거대한 공원에는 다양한 동물을 볼 수 있습니다. 그것은 많은 대화 형 디스플레이로 매우 잘 관리됩니다. 먹고 마실 많은 장소를 포함하여.
110,내가 서울대공원에서 즐겨 방문한 두 곳은 서울랜드 놀이동산과 서울 동물원이다. 서울 동물원에서의 하루는 특히 즐거웠습니다. 산책하기 좋은 곳입니다. 두 개의 다른 스카이 리프트가 하나는 낮은 지역에 있고 다른 하나는 동물원의 정상 부분에 있는 공정한 경사면에 있습니다. 우리는 스카이 리프트를 환상적인 전망과 함께 너무 즐겼기 때문에 우리는 두 스카이 리프트를 모두 타고 언덕 꼭대기까지 올라가 다양한 명소를 걸어 다녔고 우리는 그것이 깔끔하다고 생각하여 다시 더 낮은 스카이 리프트를 탔습니다! 우리가 가장 좋아했던 또 다른 것은 돌고래와 물개 쇼였습니다. 그것은 내가 본 것 중 최고였으며 모든 사람에게 거기에 가도록 권장하지만 들어가기위한 대기열은 항상 매우 길기 때문에 나중에 쇼를 위해 티켓을 구입하고 동물을보고 적어도 30 분 후에 돌아옵니다 앞줄 좌석을 원하면 쇼 시간 전에 줄을 서서 기다리십시오.
111,"서울랜드 놀이동산, 어린이과학관, 동물원, 현대미술관, 경마장 등을 만날 수 있습니다! 여기저기 걸어가는 거리가 멀기 때문에 탈 수 있는 트램이 있습니다."
